"Please choose one of the following payment methods.","Please choose one of the following payment methods."
"If you choose to simply continue, default method will be", "If you simply choose continue, the default payment method will be"
"Bank Transfer","Bank Transfer"
"iDEAL","iDEAL"
"MrCash","MrCash"
"Giropay","Giropay"
"EPS","EPS"
"UseMyFunds","UseMyFunds"
"DirectEbanking","DirectEbanking"
"Przelewy24","Przelewy24"
"OneCard","OneCard"
"CashU","CashU"
"POLi","POLi"
"DineroMail","DineroMail"
"Multibanco SIBS","Multibanco SIBS"
"Moneta Wallet","Moneta Wallet"
"WebToPay","WebToPay"
"Alipay","Alipay"
"Abaqoos","Abaqoos"
"eBanka","eBanka"
"Ukash","Ukash"
"GluePay","GluePay"
"Debito Banco do Brasil","Debito Banco do Brasil"
"CuentaDigital","CuentaDigital"
"CardsBrazil","CardsBrazil"
"PaysBuy","PaysBuy"
"Mazooma","Mazooma"
"eNETS Debit","eNETS Debit"
"Paysafecard","Paysafecard"
"PayPal","PayPal"
"PagTotal","PagTotal"
"Payeasy","Payeasy"
"MercadoPago","MercadoPago"
"Mozca","Mozca"
"Gash","Gash"
"ToditoCash","ToditoCash"
"SecureVaultPayments","SecureVaultPayments"
"Boleto","Boleto"
"Debito","Debito"
"Transferencia","Transferencia"
"QIWI Wallet","QIWI Wallet"
"Beeline","Beeline"
"Megafon","Megafon"
"MTS","MTS"
"WebMoney","WebMoney"
"Yandex","Yandex"
"Alliance Online","Alliance Online"
"AmBank","AmBank"
"CIMB Clicks","CIMB Clicks"
"FPX","FPX"
"Hong Leong Bank Transfer","Hong Leong Bank Transfer"
"Maybank2U","Maybank2U"
"Meps Cash","Meps Cash"
"Mobile Money","Mobile Money"
"RHB","RHB"
"Webcash","Webcash"
"Credit Cards Colombia","Credit Cards Colombia"
"PSE","PSE"
"ACH Debit","ACH Debit"
"Via Baloto","Via Baloto"
"Referenced Payment","Referenced Payment"
"Mandiri","Mandiri"
"Bank Transfer description","Bank Transfer offers you the possibility to pay locally from your own bank account. You will get a reference number and the bank account details to be able to make the payment. "
"iDEAL description","iDEAL allows you to buy securely on the Internet directly from your bank account opened at one of the major Dutch banks: ING, Postbank, ABN AMRO, Rabobank and SNS Bank"
"MrCash description","Bancontact/Mister Cash is the Belgium ATM card. You can pay with this card over internet, using a unique TAN (Transaction Auhorization Number). Please make sure your card is enabled for internet purchases. "
"Giropay description","Giropay is an online payment method that enables you to make real time payments via internet banking. In order to use Giropay, you must have a Girokonto (Giro account at a participating Bank or Sparkasse)."
"EPS description","EPS e-payment standard allows you to make real time online payments via your internet banking. The main banks where you can pay from are: Bank Austria Creditanstalt, Erste Bank Sparkasse, Raiffeisen Bank and Bawag PSK."
"UseMyFunds description","UseMyFunds is secure, convenient and easy to use! It works with your existing online banking service (there is nothing to download or install on your computer). You need to register the first time you pay."
"DirectEbanking description","Sofortuberweisung/DirectEbanking is an online payment method, an instant payment through a direct bank transfer from your bank account via internet banking."
"Przelewy24 description","Przelewy24 is a secure and fast online payment service linked to all the major banks and payment methods in Poland. "
"OneCard description","OneCard is the fastest growing Internet payment solution in the Middle East and North Africa. You could simply use Onecard prepaid cards directly or you can open an Onecard account and then reload the account. If you do not have an Onecard account click <a href=""http://www.onecard.net/customer/index.html?showRegistrationBox=true&siteLanguage=en"" target=""_blank"">here</a> to register."
"CashU description","CashU is the most widely used prepaid and electronic wallet in the Middle East and North Africa (excluding credit cards).You could simply use Cashu prepaid cards directly or you can open a CashU account and then reload your account. If you do not have a CashU account click <a href=""https://www.cashu.com/CLogin/registersForm?lang=en"" target=""_blank"">here</a> to register."
"POLi description","POLi is an online payment service that enables you to safely pay directly from your own internet banking. In order to pay with POLi you will have to select your bank and download the POLi application."
"DineroMail description","DineroMail is a major electronic payment system on the Latin American market that offers all of the most popular payment methods available in Argentina, Brazil, Chile, Colombia and Mexico. If you do not have a DineroMail account click <a href=""http://www.dineromail.com/"" target=""_blank"">here</a> to register."
"Multibanco SIBS description","With Multibanco/SIBS you receive payment details (3 sets of digits - Entity, Reference and Value) which you can use to pay the Merchant. You can make this payment at a Multibanco ATM, internet banking or mobile phone."
