"Please choose one of the following payment methods.","Por favor, escolha um dos seguintes métodos de pagamento."
"If you choose to simply continue, default method will be", "Se você optar simplesmente continuar, o método padrão será"
"Bank Transfer","Bank Transfer"
"iDEAL","iDEAL"
"MrCash","MrCash"
"Giropay","Giropay"
"EPS","EPS"
"UseMyFunds","UseMyFunds"
"DirectEbanking","DirectEbanking"
"Przelewy24","Przelewy24"
"OneCard","OneCard"
"CashU","CashU"
"POLi","POLi"
"DineroMail","DineroMail"
"Multibanco SIBS","Multibanco SIBS"
"Moneta Wallet","Moneta Wallet"
"WebToPay","WebToPay"
"Alipay","Alipay"
"Abaqoos","Abaqoos"
"eBanka","eBanka"
"Ukash","Ukash"
"GluePay","GluePay"
"Debito Banco do Brasil","Débito Banco do Brasil"
"CuentaDigital","CuentaDigital"
"CardsBrazil","CardsBrazil"
"PaysBuy","PaysBuy"
"Mazooma","Mazooma"
"eNETS Debit","eNETS Debit"
"Paysafecard","Paysafecard"
"PayPal","PayPal"
"PagTotal","PagTotal"
"Payeasy","Payeasy"
"MercadoPago","MercadoPago"
"Mozca","Mozca"
"Gash","Gash"
"ToditoCash","ToditoCash"
"SecureVaultPayments","SecureVaultPayments"
"Boleto","Boleto Bancário"
"Debito","Débito Bradesco"
"Transferencia","Transferência Entre Contas"
"QIWI Wallet","QIWI Wallet"
"Beeline","Beeline"
"Megafon","Megafon"
"MTS","MTS"
"WebMoney","WebMoney"
"Yandex","Yandex"
"Alliance Online","Alliance Online"
"AmBank","AmBank"
"CIMB Clicks","CIMB Clicks"
"FPX","FPX"
"Hong Leong Bank Transfer","Hong Leong Bank Transfer"
"Maybank2U","Maybank2U"
"Meps Cash","Meps Cash"
"Mobile Money","Mobile Money"
"RHB","RHB"
"Webcash","Webcash"
"Credit Cards Colombia","Credit Cards Colombia"
"PSE","PSE"
"ACH Debit","ACH Debit"
"Via Baloto","Via Baloto"
"Referenced Payment","Referenced Payment"
"Mandiri","Mandiri"
"XLTunai", "XLTunai"
"Bancomer Pago referenciado", "Bancomer Pago referenciado"
"Santander Pago referenciado", "Santander Pago referenciado"
"ScotiaBank Pago referenciado", "ScotiaBank Pago referenciado"
"7-Eleven Pago en efectivo", "7-Eleven Pago en efectivo"
"Oxxo Pago en efectivo", "Oxxo Pago en efectivo"
"IXE Pago referenciado", "IXE Pago referenciado"
"Boleto Itau", "Boleto Itaú"
